N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,CJ제일제당,"399,000","10,500",-2.56%,"5,000","60,066","15,054",24.60,"32,339",13.91,13.50,
60,현대건설,"50,600",800,-1.56%,"5,000","56,346","111,356",21.71,"266,268",45.67,1.84,
61,금호석유,"181,500","7,500",-3.97%,"5,000","55,299","30,468",20.51,"157,295",4.30,20.18,
62,F&F,"714,000","5,000",+0.71%,500,"54,702","7,661",12.07,"9,930",N/A,N/A,
63,코웨이,"73,700",500,-0.67%,500,"54,390","73,800",59.76,"65,173",12.77,31.51,
64,미래에셋증권,"8,520",140,-1.62%,"5,000","54,129","635,316",13.75,"670,126",6.47,8.94,
65,맥쿼리인프라,"13,100",300,+2.34%,0,"53,035","404,846",14.66,"1,523,289",N/A,N/A,
66,한국타이어앤테크놀로지,"41,700","1,550",-3.58%,500,"51,656","123,875",41.85,"145,387",8.37,5.12,
67,현대중공업지주,"64,100",600,-0.93%,"1,000","50,635","78,993",17.47,"81,301",-14.80,-8.12,
68,삼성엔지니어링,"25,550",0,0.00%,"5,000","50,078","196,000",33.81,"1,427,157",15.86,17.32,
69,KODEX 200,"39,590",605,-1.51%,0,"48,973","123,700",2.89,"2,418,891",N/A,N/A,
70,LG이노텍,"204,500","4,000",-1.92%,"5,000","48,399","23,667",27.48,"66,455",8.85,10.20,
71,일진머티리얼즈,"104,000",0,0.00%,500,"47,955","46,111",10.95,"380,919",100.78,7.23,
72,한국금융지주,"85,700",600,-0.70%,"5,000","47,757","55,726",35.07,"112,784",4.07,16.27,
73,에스디바이오센서,"45,350",200,+0.44%,500,"46,834","103,271",2.90,"617,070",6.87,139.97,
74,오리온,"116,000","1,500",-1.28%,500,"45,862","39,536",39.57,"37,130",19.03,15.50,
75,DB손해보험,"63,700",100,+0.16%,500,"45,100","70,800",42.86,"37,407",6.53,9.08,
76,메리츠금융지주,"33,100",550,-1.63%,500,"44,358","134,011",8.29,"39,675",7.17,16.06,
77,이마트,"158,500","6,000",-3.65%,"5,000","44,183","27,876",35.07,"130,149",7.82,4.05,
78,한국가스공사,"47,850",800,-1.64%,"5,000","44,172","92,313",7.96,"873,992",17.53,-2.24,
79,유한양행,"61,400",100,-0.16%,"1,000","42,963","69,973",18.15,"88,299",44.65,11.06,
80,삼성증권,"46,800","1,100",-2.30%,"5,000","41,792","89,300",30.19,"156,324",4.57,9.89,
81,GS,"44,650",100,-0.22%,"5,000","41,487","92,915",19.27,"106,997",5.08,-2.82,
82,팬오션,"7,690",140,+1.85%,"1,000","41,108","534,570",12.29,"4,978,822",23.59,3.25,
83,한미사이언스,"60,000","2,100",-3.38%,500,"40,383","67,305",1.68,"80,285",132.16,3.47,
84,쌍용C&E,"7,900",60,-0.75%,100,"39,805","503,860",3.59,"379,541",25.48,7.92,
85,한진칼,"59,600","1,600",-2.61%,"2,500","39,776","66,739",14.81,"53,026",-40.68,-19.55,
86,아모레G,"48,150",900,-1.83%,500,"39,704","82,458",16.87,"90,700",30.67,0.31,
87,삼성카드,"34,150",350,+1.04%,"5,000","39,566","115,859",7.99,"121,554",8.63,5.69,
88,두산밥캣,"39,050","1,000",-2.50%,500,"39,147","100,249",25.78,"112,635",10.27,6.15,
89,한솔케미칼,"345,000","1,500",-0.43%,"5,000","39,106","11,335",42.03,"33,292",27.47,24.50,
90,삼성중공업,"6,170",30,-0.48%,"1,000","38,871","630,000",14.05,"2,238,081",-2.70,-33.06,
91,OCI,"162,500","1,500",+0.93%,"5,000","38,755","23,849",20.60,"479,389",133.86,-9.89,
92,녹십자,"327,500","4,000",-1.21%,"5,000","38,273","11,687",21.38,"30,900",40.95,7.48,
93,메리츠화재,"30,500",50,-0.16%,500,"36,791","120,625",10.78,"75,889",6.96,16.91,
94,KCC,"405,000","11,000",-2.64%,"5,000","35,990","8,886",13.81,"40,049",4.22,12.79,
95,GS건설,"41,600","1,150",-2.69%,"5,000","35,602","85,581",26.46,"293,983",10.98,7.68,
96,NH투자증권,"12,650",250,-1.94%,"5,000","35,598","281,409",18.70,"337,629",4.50,10.32,
97,SK케미칼,"296,000","12,000",+4.23%,"5,000","34,784","11,751",17.03,"239,509",37.61,30.49,
98,롯데지주,"33,100",600,-1.78%,200,"34,725","104,909",8.19,"86,502",47.29,-3.03,
99,CJ대한통운,"150,500","2,500",-1.63%,"5,000","34,333","22,812",22.71,"16,749",98.62,3.89,
100,현대차2우B,"93,400","2,100",-2.20%,"5,000","34,077","36,485",60.89,"63,438",6.77,N/A,
101,메리츠증권,"4,950",0,0.00%,"1,000","33,746","681,731",14.35,"476,053",5.28,13.08,
102,GS리테일,"32,150",500,-1.53%,"1,000","33,667","104,718",9.77,"133,770",17.65,7.50,
