번호,인허가일자,상세영업상태코드,폐업일자,소재지우편번호,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y),다중이용업소여부,시설총규모
16656,20000819,2,20201201,619873,부산광역시 기장군 철마면 송정리 401-5,부산광역시 기장군 철마면 송정2길 13-16,야호(YAHO),2.02012E+13,U,2020-12-05 02:40:00.0,392052.3939,202984.8399,N,41.5
16658,20010303,2,20181106,619905,부산광역시 기장군 기장읍 동부리 274-14번지,부산광역시 기장군 기장읍 차성동로 85,줄리엣,2.01811E+13,U,2018-11-08 02:37:21.0,401691.1125,196258.9739,N,41.8
16659,20010406,2,20011115,619912,부산광역시 기장군 일광면 삼성리 36-4번지,,코리아다방,2.00111E+13,I,2018-08-31 23:59:59.0,403206.5887,198493.464,N,59.22
16660,20010718,2,20030430,619905,부산광역시 기장군 기장읍 동부리 134-10번지,,한신다방,2.00508E+13,I,2018-08-31 23:59:59.0,401462.3936,196501.5645,N,83.64
16666,20021217,2,20051109,619903,부산광역시 기장군 기장읍 대라리 418-13번지,,전통다원시래헌,2.00212E+13,I,2018-08-31 23:59:59.0,401447.3023,195992.1005,N,53.84
16667,20030526,2,20051214,619903,부산광역시 기장군 기장읍 대라리 35-10번지,,해수다방,2.00305E+13,I,2018-08-31 23:59:59.0,401758.7406,195988.3367,N,27.2
16668,20180625,2,20190529,613805,부산광역시 수영구 광안동 183-12번지,"부산광역시 수영구 수영로522번길 62, 1층 (광안동)",달보드레,2.01905E+13,U,2019-05-31 02:40:00.0,392657.1152,185645.1727,N,74.97
16670,20180702,2,20201020,613814,부산광역시 수영구 남천동 20-32,"부산광역시 수영구 수영로408번길 24-4, 2층 (남천동)",히떼로스터리,2.0201E+13,U,2020-10-22 02:40:00.0,392167.9828,184551.0154,N,58.58
16671,20180703,2,20201105,613828,부산광역시 수영구 민락동 164-45,"부산광역시 수영구 민락로 30, 1층 (민락동)",그레코(Greco),2.02011E+13,U,2020-11-07 02:40:00.0,393254.9386,186361.8189,N,40
16672,20180705,2,20201026,613828,부산광역시 수영구 민락동 163-26,"부산광역시 수영구 민락로34번길 33, 1층 (민락동)","카페,보배",2.0201E+13,U,2020-10-28 02:40:00.0,393383.1016,186423.1296,N,24.14
